Memory,Memory_Bandwidth,Memory_Speed,Pixel_Rate,TMUs,Max_Power,Manufacturer,Memory_Type
1024,64,1000,12,64,141,Nvidia,GDDR
512,106,828,12,16,215,AMD,GDDR
512,512,800,10,16,200,AMD,GDDR
256,368,1150,3,8,28,AMD,GDDR
256,224,700,3,8,45,AMD,GDDR
256,352,1100,3,8,50,AMD,GDDR
2048,1344,1050,14,40,190,AMD,GDDR
256,512,800,7,12,150,AMD,GDDR
2048,160,1250,25,80,150,AMD,GDDR
64,29,366,64,4,32,AMD,DDR
128,52,325,1,8,24,Nvidia,DDR
6144,1776,925,31,56,250,Nvidia,GDDR
5120,168,1050,53,80,225,Nvidia,GDDR
12288,2884,1502,34,240,245,Nvidia,GDDR
64,58,360,2,8,24,AMD,DDR
3072,576,900,18,28,150,AMD,DDR
8192,320,1250,66,176,300,Nvidia,GDDR
6144,2496,1300,42,224,235,Nvidia,GDDR
1024,341,1067,2,8,28,Intel,DDR
256,234,730,3,8,60,AMD,DDR
6144,144,750,67,64,238,Nvidia,GDDR
6144,144,750,67,64,247,Nvidia,GDDR
128,36,225,1,8,24,Nvidia,DDR
128,52,325,1,8,24,Nvidia,DDR
1024,341,1067,2,8,15,Intel,DDR
128,44,275,1,8,24,Nvidia,DDR
3072,144,750,67,64,238,Nvidia,GDDR
1024,341,1067,2,8,28,Intel,DDR
1024,341,1067,2,8,15,Intel,DDR
512,256,800,4,8,15,Intel,DDR
64,32,200,1,4,24,Nvidia,DDR
1024,299,933,2,8,47,Intel,DDR
64,32,200,1,4,24,Nvidia,DDR
128,41,256,1,4,24,Nvidia,DDR
64,36,225,1,8,24,Nvidia,DDR
1024,341,1067,2,8,28,Intel,DDR
1024,341,1067,2,8,15,Intel,DDR
128,27,166,1,4,24,Nvidia,DDR
1024,341,1067,2,8,28,Intel,DDR
1024,341,1067,2,8,15,Intel,DDR
1024,299,933,2,8,47,Intel,DDR
1024,256,800,2,8,47,Intel,DDR
8192,480,1250,147,224,250,Nvidia,GDDR
1024,299,933,2,8,47,Intel,DDR
1024,299,933,2,8,47,Intel,DDR
12288,5472,1425,152,56,250,Nvidia,GDDR
6144,2884,1502,42,224,250,Nvidia,GDDR
12288,672,1750,84,240,375,Nvidia,GDDR
12288,672,1750,88,240,375,Nvidia,GDDR
12288,672,1750,84,240,375,Nvidia,GDDR
12288,672,1750,90,240,375,Nvidia,GDDR
12288,3366,1753,120,192,250,Nvidia,GDDR
24576,6732,1753,233,192,500,Nvidia,GDDR
6144,3172,1652,46,224,250,Nvidia,GDDR
24576,6732,1753,209,192,450,Nvidia,GDDR
12288,3366,1753,105,192,250,Nvidia,GDDR
12288,3366,1753,117,192,250,Nvidia,GDDR
6144,2884,1502,47,224,265,Nvidia,GDDR
12288,5768,1502,84,224,500,Nvidia,GDDR
12288,384,500,96,320,300,Nvidia,HBM
6144,2884,1502,42,224,250,Nvidia,GDDR
16384,512,500,128,320,375,Nvidia,HBM
6144,2884,1502,42,224,250,Nvidia,GDDR
6144,2884,1502,47,224,265,Nvidia,GDDR
6144,2884,1502,42,224,250,Nvidia,GDDR
6144,336,1750,47,240,250,Nvidia,GDDR
2048,288,900,8,48,32,AMD,DDR
6144,2884,1502,42,224,250,Nvidia,GDDR
6144,2884,1502,42,224,250,Nvidia,GDDR
1024,288,900,34,60,219,AMD,DDR
512,691,1080,66,40,78,AMD,DDR
1024,288,900,34,60,219,AMD,DDR
1024,288,900,34,60,219,AMD,DDR
64,88,550,4,8,18,AMD,DDR
128,448,700,3,8,47,AMD,DDR
256,48,300,2,4,24,AMD,DDR
256,32,200,1,4,24,AMD,DDR
128,48,300,2,4,18,AMD,DDR
128,43,270,1,8,24,AMD,DDR
128,43,270,1,8,24,AMD,DDR
128,64,400,2,4,20,AMD,DDR
128,32,200,1,4,24,AMD,DDR
128,32,200,1,4,24,AMD,DDR
64,4,250,64,4,28,AMD,DDR
512,72,1125,29,40,80,AMD,GDDR
1024,416,650,13,24,62,AMD,GDDR
256,288,450,4,4,47,AMD,GDDR
64,8,500,4,8,35,AMD,DDR
1024,1111,868,24,32,23,AMD,GDDR
512,352,1100,32,60,219,AMD,GDDR
256,416,650,67,224,450,AMD,GDDR
512,512,800,13,24,143,AMD,GDDR
128,99,310,1,8,24,AMD,DDR
128,112,350,2,8,24,AMD,DDR
256,16,500,4,8,35,AMD,GDDR
256,64,400,2,4,20,AMD,DDR
128,64,400,2,4,20,AMD,DDR
128,16,500,4,8,35,AMD,GDDR
16384,320,1250,60,176,290,AMD,GDDR
4096,176,1375,52,112,225,AMD,GDDR
128,32,200,1,4,24,AMD,DDR
2048,1024,800,64,64,75,AMD,GDDR
6144,264,1375,31,128,274,AMD,GDDR
2048,1152,900,64,56,154,AMD,GDDR
4096,1536,1200,30,80,150,AMD,GDDR
2048,160,1250,23,88,150,AMD,GDDR
2048,288,900,5,20,26,AMD,DDR
1024,1088,850,64,56,151,AMD,GDDR
2048,128,1000,23,72,138,AMD,GDDR
2048,128,1000,19,32,75,AMD,GDDR
64,32,200,1,4,24,AMD,DDR
1024,64,1000,11,40,74,AMD,GDDR
512,288,900,6,32,56,AMD,GDDR
256,224,700,4,32,48,AMD,GDDR
128,23,290,1,8,24,AMD,DDR
16384,320,1250,58,176,235,AMD,GDDR
12288,264,1375,29,112,225,AMD,GDDR
4096,1472,1150,27,80,250,AMD,GDDR
6144,264,1375,29,112,225,AMD,GDDR
4096,1536,1200,30,80,150,AMD,GDDR
3072,264,1375,27,128,274,AMD,GDDR
3072,240,1250,23,96,175,AMD,GDDR
1024,288,900,5,24,75,AMD,DDR
2048,341,1067,6,32,65,AMD,DDR
4096,1536,1200,66,80,225,AMD,GDDR
1024,341,1067,7,24,95,AMD,DDR
1024,341,1067,7,32,95,AMD,DDR
1024,341,1067,7,32,95,AMD,DDR
1024,341,1067,7,32,95,AMD,DDR
6144,240,1250,53,224,375,AMD,GDDR
2048,1088,850,12,40,160,AMD,GDDR
2048,128,1000,22,72,150,AMD,GDDR
2048,512,800,13,16,105,AMD,GDDR
2048,341,1067,7,32,65,AMD,DDR
1024,636,993,10,40,150,AMD,GDDR
1024,341,1067,6,24,65,AMD,DDR
1024,341,1067,5,32,35,AMD,DDR
1024,341,1067,6,24,95,AMD,DDR
1024,341,1067,6,24,95,AMD,DDR
1024,256,800,5,24,25,AMD,DDR
1024,341,1067,7,24,100,AMD,DDR
1024,299,933,6,16,65,AMD,DDR
1024,256,800,5,24,25,AMD,DDR
2048,341,1067,7,24,65,AMD,DDR
1024,299,933,7,16,65,AMD,DDR
2048,341,1067,7,24,65,AMD,DDR
1024,299,933,3,12,65,AMD,DDR
1024,299,933,34,60,219,AMD,DDR
1024,299,933,3,12,65,AMD,DDR
1024,299,933,34,60,219,AMD,DDR
2048,691,1080,66,64,171,AMD,DDR
2048,341,1067,7,24,65,AMD,DDR
512,256,800,64,24,65,AMD,DDR
1024,1536,1200,29,64,65,AMD,DDR
1024,1536,1200,29,64,65,AMD,DDR
256,8,500,3,4,25,AMD,GDDR
1024,1536,1200,29,64,100,AMD,DDR
256,64,400,2,4,25,AMD,DDR
256,16,500,2,8,35,AMD,DDR
256,1088,800,23,20,25,AMD,DDR
256,64,400,2,4,20,AMD,DDR
256,64,400,2,4,20,AMD,DDR
128,53,333,1,8,24,AMD,DDR
1024,1344,1050,14,40,190,AMD,GDDR
2048,299,933,43,32,64,AMD,DDR
1024,1344,1050,16,40,190,AMD,GDDR
256,64,400,2,4,20,AMD,DDR
1024,128,1000,14,40,190,AMD,GDDR
2048,2304,900,24,80,420,AMD,GDDR
1024,1344,1050,15,40,190,AMD,GDDR
1024,1152,900,12,40,150,AMD,GDDR
1024,1248,975,14,40,190,AMD,GDDR
512,1152,900,12,40,150,AMD,GDDR
512,1216,950,12,40,150,AMD,GDDR
2048,636,993,10,40,250,AMD,GDDR
1024,64,1000,10,40,50,AMD,GDDR
512,96,750,11,32,130,AMD,GDDR
512,704,1100,11,40,86,AMD,GDDR
1024,636,993,10,40,110,AMD,GDDR
512,602,940,10,40,110,AMD,GDDR
1024,634,990,11,40,110,AMD,GDDR
512,636,993,10,40,110,AMD,GDDR
512,576,900,9,32,95,AMD,GDDR
512,576,900,9,32,95,AMD,GDDR
1024,279,873,6,32,59,AMD,GDDR
512,512,800,12,32,80,AMD,GDDR
512,576,900,6,32,110,AMD,GDDR
512,576,900,6,32,95,AMD,GDDR
512,512,800,12,32,75,AMD,GDDR
1024,256,800,6,32,59,AMD,GDDR
1024,256,800,6,32,59,AMD,GDDR
512,321,1004,6,32,59,AMD,GDDR
1024,24,750,5,32,48,AMD,GDDR
1024,224,700,5,32,48,AMD,DDR
1024,256,800,6,32,59,AMD,GDDR
512,64,400,2,8,20,AMD,DDR
512,128,400,5,32,48,AMD,DDR
1024,128,400,5,32,48,AMD,DDR
256,128,800,2,8,25,AMD,GDDR
1024,8,500,2,8,20,AMD,DDR
512,128,800,2,8,25,AMD,GDDR
512,256,800,6,32,59,AMD,GDDR
512,64,400,2,8,20,AMD,DDR
3072,1024,800,2,4,50,AMD,DDR
3072,1024,950,3,4,35,AMD,DDR
1024,576,900,10,32,105,Nvidia,GDDR
768,24,500,8,32,75,Nvidia,DDR
512,16,500,4,16,50,Nvidia,DDR
3072,1024,800,2,4,50,AMD,DDR
1024,576,900,13,16,165,AMD,GDDR
512,721,1126,12,16,106,AMD,GDDR
1024,106,828,21,32,140,AMD,GDDR
256,266,830,11,16,75,AMD,GDDR
256,266,830,11,16,75,AMD,GDDR
512,4488,1753,136,16,300,AMD,DDR
512,8,500,2,8,35,Nvidia,DDR
256,531,830,11,16,75,AMD,GDDR
256,256,800,3,8,65,AMD,GDDR
512,691,1080,66,40,78,AMD,DDR
256,152,950,3,4,30,AMD,GDDR
512,531,830,11,16,75,AMD,GDDR
256,112,800,2,4,65,AMD,DDR
1536,1632,850,32,48,145,AMD,GDDR
256,8,500,2,4,25,AMD,DDR
3072,1024,800,2,4,50,AMD,GDDR
3072,1024,950,3,4,35,AMD,GDDR
256,32,400,2,4,20,AMD,DDR
3072,1024,800,2,4,50,AMD,DDR
128,299,933,2,8,47,Intel,DDR
512,299,933,2,8,28,Intel,DDR
128,128,800,3,8,47,Intel,eDRAM
1024,341,1067,8,16,15,Intel,DDR
512,171,533,67,8,12,Intel,DDR
1024,341,1067,2,8,28,Intel,DDR
4096,1743,1362,27,128,125,AMD,GDDR
4096,160,1250,23,128,125,AMD,GDDR
4096,1536,1200,29,80,100,AMD,GDDR
256,85,533,4,8,18,Intel,DDR
4096,160,1250,23,128,125,AMD,GDDR
4096,160,1250,30,80,100,AMD,GDDR
4096,3072,1200,58,80,200,AMD,GDDR
512,85,533,67,8,35,Intel,DDR
512,85,533,2,8,9,AMD,DDR
2048,128,1000,22,40,100,AMD,GDDR
1024,256,800,5,32,35,AMD,GDDR
1024,64,1000,11,40,50,AMD,GDDR
1024,64,1000,10,40,39,AMD,GDDR
1024,256,800,8,40,24,AMD,GDDR
4096,1536,1200,29,80,100,AMD,GDDR
1024,256,800,4,20,26,AMD,GDDR
1024,512,800,5,20,30,AMD,GDDR
1024,256,800,4,20,15,AMD,GDDR
1024,128,800,3,8,15,AMD,GDDR
1024,256,800,4,32,35,AMD,GDDR
1024,192,600,4,32,20,AMD,GDDR
1024,128,800,3,8,15,AMD,GDDR
512,128,800,3,8,15,AMD,GDDR
1024,96,600,2,8,10,AMD,GDDR
4096,3072,1200,58,80,200,AMD,GDDR
1024,144,900,3,8,15,AMD,GDDR
1024,128,800,3,8,11,AMD,GDDR
2048,1536,1200,29,80,100,AMD,GDDR
512,128,800,2,8,13,AMD,GDDR
1024,288,900,5,32,35,AMD,GDDR
1024,128,800,2,8,7,AMD,GDDR
1024,512,800,4,20,25,AMD,GDDR
2048,72,1125,12,40,50,AMD,GDDR
2048,72,1125,12,40,45,AMD,GDDR
2048,64,1000,7,24,35,AMD,GDDR
2048,32,1000,5,24,35,AMD,DDR
2048,72,1125,7,24,20,AMD,GDDR
2048,32,1000,12,40,45,AMD,DDR
2048,64,1000,6,24,20,AMD,GDDR
1024,36,1125,7,24,30,AMD,GDDR
1024,32,1000,6,24,15,AMD,DDR
2048,288,900,7,24,20,AMD,DDR
1024,144,900,7,24,17,AMD,DDR
1024,36,1125,22,24,55,AMD,GDDR
1024,144,900,22,24,64,AMD,DDR
2048,144,900,7,24,25,AMD,DDR
2048,1152,900,22,48,75,AMD,GDDR
512,256,800,2,8,25,AMD,DDR
1024,1152,900,19,48,50,AMD,GDDR
1024,256,800,11,40,50,AMD,DDR
2048,256,800,9,40,39,AMD,DDR
1024,64,1000,11,40,50,AMD,GDDR
2048,512,800,6,24,35,AMD,GDDR
2048,1152,900,23,56,100,AMD,GDDR
1024,512,800,6,24,35,AMD,GDDR
512,512,800,5,24,35,AMD,GDDR
1024,512,800,5,24,30,AMD,GDDR
1024,256,800,5,24,25,AMD,DDR
1024,512,800,5,20,30,AMD,GDDR
1024,256,800,6,24,39,AMD,DDR
1024,256,800,4,24,26,AMD,DDR
1024,256,800,5,20,26,AMD,DDR
1024,128,800,3,8,11,AMD,DDR
512,256,800,3,8,14,AMD,GDDR
1024,256,800,4,20,26,AMD,DDR
1024,128,800,2,8,11,AMD,DDR
1024,128,800,3,8,11,AMD,DDR
1024,144,900,2,8,7,AMD,DDR
1024,128,800,2,8,11,AMD,DDR
1024,128,800,2,8,7,AMD,DDR
512,256,800,2,8,15,AMD,DDR
512,171,533,2,8,8,AMD,DDR
512,256,800,2,8,15,AMD,DDR
2048,112,667,2,8,18,AMD,DDR
512,171,533,1,8,4,AMD,DDR
512,256,800,2,8,9,AMD,DDR
2048,112,667,1,8,9,AMD,DDR
2048,112,667,1,8,8,AMD,DDR
2048,128,1000,22,8,75,AMD,GDDR
1024,213,667,2,8,15,AMD,DDR
2048,112,667,2,8,18,AMD,DDR
2048,64,1000,11,40,40,AMD,GDDR
2048,64,1000,13,40,45,AMD,GDDR
2048,64,1000,11,32,32,AMD,GDDR
2048,1536,1200,27,80,100,AMD,GDDR
4096,3072,1200,54,80,200,AMD,GDDR
2048,288,900,11,32,25,AMD,DDR
1024,576,900,6,24,25,AMD,GDDR
1024,288,900,10,24,20,AMD,DDR
1024,288,900,4,24,20,AMD,DDR
2048,288,900,10,24,20,AMD,DDR
1024,64,1000,9,32,28,AMD,GDDR
1024,64,1000,11,32,32,AMD,GDDR
1024,288,900,12,24,20,AMD,DDR
1024,256,800,4,24,20,AMD,DDR
1024,256,800,4,20,20,AMD,DDR
1024,256,800,4,24,14,AMD,GDDR
1024,256,800,5,24,18,AMD,GDDR
1024,128,800,4,20,11,AMD,DDR
1024,144,900,4,20,11,AMD,DDR
2048,144,900,4,24,14,AMD,DDR
1024,256,800,4,24,13,AMD,GDDR
1024,144,900,2,8,7,AMD,DDR
1024,144,900,3,8,7,AMD,DDR
512,144,900,3,8,7,AMD,DDR
1024,304,950,3,8,9,AMD,GDDR
1024,128,800,3,8,11,AMD,DDR
2048,107,667,3,8,18,AMD,DDR
1024,144,900,2,4,7,AMD,DDR
1024,128,800,2,4,5,AMD,DDR
512,85,533,2,8,18,AMD,DDR
2048,64,1000,15,56,75,AMD,GDDR
2048,64,1000,15,40,50,AMD,GDDR
2048,64,1000,10,40,35,AMD,GDDR
2048,64,1000,15,40,50,AMD,GDDR
2048,64,1000,12,48,50,AMD,GDDR
2048,64,1000,6,24,35,AMD,GDDR
2048,32,1000,7,24,35,AMD,DDR
2048,16,1000,8,24,35,AMD,DDR
4096,288,900,6,24,35,AMD,DDR
4096,32,1000,7,24,30,AMD,DDR
4096,16,1000,8,20,20,AMD,DDR
1024,144,900,5,20,17,AMD,DDR
1024,144,900,4,20,13,AMD,DDR
4096,16,1000,7,20,20,AMD,DDR
2048,16,1000,8,24,33,AMD,DDR
256,128,400,2,4,25,AMD,DDR
256,64,400,2,4,20,AMD,DDR
256,32,500,4,8,35,AMD,GDDR
256,301,470,4,8,47,AMD,GDDR
128,128,400,2,4,25,AMD,GDDR
128,8,250,1,8,24,AMD,DDR
128,8,250,1,8,24,AMD,DDR
4096,88,1375,16,56,75,AMD,GDDR
4096,96,1500,16,48,75,AMD,GDDR
256,15,470,3,8,35,AMD,GDDR
4096,96,1500,18,56,75,AMD,GDDR
4096,72,1125,15,40,75,AMD,GDDR
